Language,SourceWord,TargetWord,SourceWord Syl,TargetWord Syl,NumberSylsource,NumberSylTarget,TemplateSylSource,TemplateSylTarget,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,process,TargetOrthography,Translation,Reference,Notes
Korlai,tud,ˈtudu,tud,ˈtu.du,1,2,CVC,CVCV,tud,ˈtudu,1,1,,tudo,all,Clements2012[37-41],
Korlai,tud,ˈtudu,tud,ˈtu.du,1,2,CVC,CVCV,tud,ˈtudu,-,2,,tudo,all,Clements2012[37-41],
Korlai,ani,i,a.ni,i,2,1,VCV,V,a,i,1,1,,e,and,Clements2012[37-41],
Korlai,ani,i,a.ni,i,2,1,VCV,V,ni,-,2,-,,e,and,Clements2012[37-41],
Korlai,sints,ˈsĩzɐ,sints,ˈsĩ.zɐ,1,2,CVC,CVCV,sints,ˈsĩ,1,1,,cinza,ashes,Clements2012[37-41],
Korlai,sints,ˈsĩzɐ,sints,ˈsĩ.zɐ,1,2,CVC,CVCV,-,zɐ,-,2,,cinza,ashes,Clements2012[37-41],
Korlai,su pɛɾt,ɐj̃,su.pɛɾt,ɐj̃,1,2,CVCVC,V,su,ɐj̃,1,1,,em,at,Clements2012[37-41],
Korlai,su pɛɾt,ɐj̃,su.pɛɾt,ɐj̃,1,2,CVCVC,V,pɛɾt,-,2,-,,em,at,Clements2012[37-41],
Korlai,nə,ɐj̃,nə,ɐj̃,1,1,CV,V,nə,ɐj̃,1,1,,em,at,Clements2012[37-41],
Korlai,kɔs,ˈkɔʃtɐ,kɔs,ˈkɔʃ.tɐ,1,2,CVC,CVCCV,kɔs,kɔʃ,1,1,,costa,back,Clements2012[37-41],
Korlai,kɔs,ˈkɔʃtɐ,kɔs,ˈkɔʃ.tɐ,1,2,CVC,CVCCV,-,tɐ,-,2,,costa,back,Clements2012[37-41],
Korlai,bʰaɾig,bɐˈʀigɐ,bʰa.ɾig,bɐˈ.ʀi.gɐ,2,3,CVCVC,CVCVCV,bʰa,bɐ,1,1,,barriga,belly,Clements2012[37-41],
Korlai,bʰaɾig,bɐˈʀigɐ,bʰa.ɾig,bɐˈ.ʀi.gɐ,2,3,CVCVC,CVCVCV,-,ʀi,-,2,,barriga,belly,Clements2012[37-41],
Korlai,bʰaɾig,bɐˈʀigɐ,bʰa.ɾig,bɐˈ.ʀi.gɐ,2,3,CVCVC,CVCVCV,ɾig,gɐ,2,3,,barriga,belly,Clements2012[37-41],
Korlai,gɾan,ˈɡɾɐ̃dɨ,gɾan,ˈɡɾɐ̃.dɨ,1,2,CCVC,CCVCCV,gɾan,ɡɾɐ̃,1,1,,grande,big,Clements2012[37-41],
Korlai,gɾan,ˈɡɾɐ̃dɨ,gɾan,ˈɡɾɐ̃.dɨ,1,2,CCVC,CCVCCV,-,dɨ,-,2,,grande,big,Clements2012[37-41],
Korlai,pas,ˈpasɐɾu,pas,ˈpa.sɐ.ɾu,1,3,CVC,CVCVCV,pas,pa,1,1,,pássaro,bird,Clements2012[37-41],
Korlai,pas,ˈpasɐɾu,pas,ˈpa.sɐ.ɾu,1,3,CVC,CVCVCV,-,sɐ,-,2,,pássaro,bird,Clements2012[37-41],
Korlai,pas,ˈpasɐɾu,pas,ˈpa.sɐ.ɾu,1,3,CVC,CVCVCV,-,ɾu,-,3,,pássaro,bird,Clements2012[37-41],
Korlai,supɾa,suˈpɾaɾ,su.pɾa,su.ˈpɾaɾ,2,2,CVCCV,CVCCVC,su,su,1,1,,soprar,blow,Clements2012[37-41],
Korlai,supɾa,suˈpɾaɾ,su.pɾa,su.ˈpɾaɾ,2,2,CVCCV,CVCCVC,pra,pɾaɾ,2,2,,soprar,blow,Clements2012[37-41],
Korlai,kima,kejˈmaɾ,ki.ma,kej.ˈmaɾ,2,2,CVCV,CVCVC,ki,kej,1,1,,queimar,burn,Clements2012[37-41],
Korlai,kima,kejˈmaɾ,ki.ma,kej.ˈmaɾ,2,2,CVCV,CVCVC,ma,maɾ,2,2,,queimar,burn,Clements2012[37-41],
Korlai,kɾijãs,kɾiˈɐ̃sɐ,kɾi.jãs,kɾi.ˈɐ̃.sɐ,2,3,CVCVCC,CCVCCV,kɾi,kɾi,1,1,,criança,child,Clements2012[37-41],
Korlai,kɾijãs,kɾiˈɐ̃sɐ,kɾijãs,kɾi.ˈɐ̃.sɐ,2,3,CVCVCC,CCVCCV,-,ɐ̃,-,2,,criança,child,Clements2012[37-41],
Korlai,kɾijãs,kɾiˈɐ̃sɐ,kɾijãs,kɾi.ˈɐ̃.sɐ,2,3,CVCVCC,CCVCCV,jãs,sɐ,2,3,,criança,child,Clements2012[37-41],
Korlai,fɾiw,ˈfɾiu,fɾiw,ˈfɾiu,1,1,CCV,CCVV,fɾiw,ˈfɾiu,1,1,,frio,cold,Clements2012[37-41],
Korlai,ʋi,ˈviɾ,ʋi,ˈviɾ,1,1,CV,CVC,ʋi,viɾ,1,1,,vir,come,Clements2012[37-41],
Korlai,kota,kõtaɾ,ko.ta,kõ.taɾ,2,2,CVCV,CVCCVC,ko,kõ,1,1,,contar,count,Clements2012[37-41],
Korlai,kota,kõtaɾ,ko.ta,kõ.taɾ,2,2,CVCV,CVCCVC,ta,taɾ,2,2,,contar,count,Clements2012[37-41],
Korlai,koɾta,kuɾˈtaɾ,koɾ.ta,kuɾ.ˈtaɾ,2,2,CVCCV,CVCCVC,koɾ,kuɾ,1,1,,cortar,cut,Clements2012[37-41],
Korlai,koɾta,kuɾˈtaɾ,koɾ.ta,kuɾ.ˈtaɾ,2,2,CVCCV,CVCCVC,ta,taɾ,2,2,,cortar,cut,Clements2012[37-41],
Korlai,kaʋa,kɐˈvaɾ,ka.ʋa,kɐ.ˈvaɾ,2,2,CVCV,CVCVC,ka,kɐ,1,1,,cavar,dig,Clements2012[37-41],
Korlai,kaʋa,kɐˈvaɾ,ka.ʋa,kɐ.ˈvaɾ,2,2,CVCV,CVCVC,ʋa,vaɾ,2,2,,cavar,dig,Clements2012[37-41],
Korlai,sud̠ʒ,ˈsuʒu,sud̠ʒ,ˈsu.ʒu,1,2,CVC,CVCV,sud̠ʒ,su,1,1,,sujo,dirty,Clements2012[37-41],
Korlai,sud̠ʒ,ˈsuʒu,sud̠ʒ,ˈsu.ʒu,1,2,CVC,CVCV,-,ʒu,-,2,,sujo,dirty,Clements2012[37-41],
Korlai,kãw,ˈkɐ̃w̃,kãw,ˈkɐ̃w̃,1,1,CV,CV,kãw,ˈkɐ̃w̃,1,1,,cão,dog,Clements2012[37-41],
Korlai,sek,ˈseku,sek,ˈse.ku,1,2,CVC,CVCV,sek,se,1,1,,seco,dry,Clements2012[37-41],
Korlai,sek,ˈseku,sek,ˈse.ku,1,2,CVC,CVCV,-,ku,-,2,,seco,dry,Clements2012[37-41],
Korlai,bʰoʈəl,ˈbotu,bʰo.ʈəl,ˈbo.tu,2,2,CVCVC,CVCV,bʰo,bo,1,1,,boto,dull,Clements2012[37-41],
Korlai,bʰoʈəl,ˈbotu,bʰo.ʈəl,ˈbo.tu,2,2,CVCVC,CVCV,ʈəl,tu,2,2,,boto,dull,Clements2012[37-41],
Korlai,kume,kuˈmeɾ,ku.me,ku.ˈmeɾ,2,2,CVCV,CVCVC,ku,ku,1,1,,comer,eat,Clements2012[37-41],
Korlai,kume,kuˈmeɾ,ku.me,ku.ˈmeɾ,2,2,CVCV,CVCVC,me,meɾ,2,2,,comer,eat,Clements2012[37-41],
Korlai,kai,kɐˈiɾ,kai,kɐ.ˈiɾ,1,2,CV,CVVC,kai,kɐ,1,1,,cair,fall,Clements2012[37-41],
Korlai,kai,kɐˈiɾ,kai,kɐ.ˈiɾ,1,2,CV,CVVC,-,iɾ,-,2,,cair,fall,Clements2012[37-41],
Korlai,pɛn,ˈpenɐ,pɛn,ˈpe.nɐ,1,2,CVC,CVCV,pɛn,pe,1,1,,pena,feather,Clements2012[37-41],
Korlai,pɛn,ˈpenɐ,pɛn,ˈpe.nɐ,1,2,CVC,CVCV,-,nɐ,-,2,,pena,feather,Clements2012[37-41],
Korlai,pok,ˈpoku,pok,ˈpo.ku,1,2,CVC,CVCV,pok,po,1,1,,pouco,few,Clements2012[37-41],
Korlai,pok,ˈpoku,pok,ˈpo.ku,1,2,CVC,CVCV,-,ku,-,2,,pouco,few,Clements2012[37-41],
Korlai,luta,luˈtaɾ,lu.ta,lu.ˈtaɾ,2,2,CVCV,CVCVC,lu,lu,1,1,,lutar,fight,Clements2012[37-41],
Korlai,luta,luˈtaɾ,lu.ta,lu.ˈtaɾ,2,2,CVCV,CVCVC,ta,taɾ,2,2,,lutar,fight,Clements2012[37-41],
Korlai,fog,ˈfoɡu,fog,ˈfo.ɡu,1,2,CVC,CVCV,fog,fo,1,1,,fogo,fire,Clements2012[37-41],
Korlai,fog,ˈfoɡu,fog,ˈfo.ɡu,1,2,CVC,CVCV,-,gu,-,2,,fogo,fire,Clements2012[37-41],
Korlai,peʃ,ˈpejʃɨ,peʃ,ˈpej.ʃɨ,1,2,CVC,CVCV,peʃ,pej,1,1,,peixe,fish,Clements2012[37-41],
Korlai,sink,ˈsĩku,sink,ˈsĩ.ku,1,2,CVCC,CVCCV,sink,sĩ,1,1,,cinco,five,Clements2012[37-41],
Korlai,sink,ˈsĩku,sink,ˈsĩ.ku,1,2,CVCC,CVCCV,-,ku,-,2,,cinco,five,Clements2012[37-41],
Korlai,ful,ˈfloɾ,ful,ˈfloɾ,1,1,CVC,CCVC,ful,ˈfloɾ,1,1,,flor,flower,Clements2012[37-41],
Korlai,awga,vuˈaɾ,aw.ga,vu.ˈaɾ,2,2,VCCV,CVVC,aw,vu,1,1,,voar,fly,Clements2012[37-41],
Korlai,awga,vuˈaɾ,aw.ga,vu.ˈaɾ,2,2,VCCV,CVVC,ga,aɾ,2,2,,voar,fly,Clements2012[37-41],
Korlai,ʋɛɾd,ˈveɾdɨ,ʋɛɾd,ˈveɾ.dɨ,1,2,CVCC,CVCCV,ʋɛɾd,veɾ,1,1,,verde,green,Clements2012[37-41],
Korlai,ʋɛɾd,ˈveɾdɨ,ʋɛɾd,ˈveɾ.dɨ,1,2,CVCC,CVCCV,-,dɨ,-,2,,verde,green,Clements2012[37-41],
Korlai,tɾip,ˈtɾipɐ,tɾip,ˈtɾi.pɐ,1,2,CCVC,CCVCV,tɾip,tri,1,1,,tripa,guts,Clements2012[37-41],
Korlai,tɾip,ˈtɾipɐ,tɾip,ˈtɾi.pɐ,1,2,CCVC,CCVCV,-,pɐ,-,2,,tripa,guts,Clements2012[37-41],
Korlai,kabel,kɐˈbelu,ka.bel,kɐˈ.be.lu,1,3,CVCVC,CVCVCV,ka,kɐ,1,1,,cabelo,hair,Clements2012[37-41],
Korlai,kabel,kɐˈbelu,ka.bel,kɐˈ.be.lu,1,3,CVCVC,CVCVCV,-,be,-,2,,cabelo,hair,Clements2012[37-41],
Korlai,kabel,kɐˈbelu,ka.bel,kɐˈ.be.lu,1,3,CVCVC,CVCVCV,bel,lu,2,3,,cabelo,hair,Clements2012[37-41],
Korlai,kabes,kɐˈbesɐ,ka.bes,kɐ.ˈbe.sɐ,2,3,CVCVC,CVCVCV,ka,kɐ,1,1,,cabeça,head,Clements2012[37-41],
Korlai,kabes,kɐˈbesɐ,ka.bes,kɐ.ˈbe.sɐ,2,3,CVCVC,CVCVCV,-,be,-,2,,cabeça,head,Clements2012[37-41],
Korlai,kabes,kɐˈbesɐ,ka.bes,kɐ.ˈbe.sɐ,2,3,CVCVC,CVCVCV,bes,sɐ,2,3,,cabeça,head,Clements2012[37-41],
Korlai,koɾsãw,kuɾɐˈsɐ̃w̃,koɾ.sãw,ku.ɾɐ.ˈsɐ̃w̃,2,3,CVCCV,CVCVCV,koɾ,ku,1,1,,coração,heart,Clements2012[37-41],
Korlai,ʃiŋ,ˈʃifɾɨ,ʃiŋ,ˈʃi.fɾɨ,1,2,CVC,CVCCV,ʃiŋ,ʃi,1,1,,chifre,horn,Clements2012[37-41],
Korlai,ʃiŋ,ˈʃifɾɨ,ʃiŋ,ˈʃi.fɾɨ,1,2,CVC,CVCCV,-,fɾɨ,-,2,,chifre,horn,Clements2012[37-41],
Korlai,maɾid,mɐˈɾidu,ma.ɾid,mɐ.ˈɾi.du,2,3,CVCVC,CVCVCV,ma,mɐ,1,1,,marido,husband,Clements2012[37-41],
Korlai,maɾid,mɐˈɾidu,ma.ɾid,mɐ.ˈɾi.du,2,3,CVCVC,CVCVCV,-,ri,-,2,,marido,husband,Clements2012[37-41],
Korlai,maɾid,mɐˈɾidu,ma.ɾid,mɐ.ˈɾi.du,2,3,CVCVC,CVCVCV,ɾid,du,2,3,,marido,husband,Clements2012[37-41],
Korlai,mata,mɐˈtaɾ,ma.ta,mɐ.ˈtaɾ,2,2,CVCV,CVCVC,ma,mɐ,1,1,,matar,kill,Clements2012[37-41],
Korlai,mata,mɐˈtaɾ,ma.ta,mɐ.ˈtaɾ,2,2,CVCV,CVCVC,ta,taɾ,2,2,,matar,kill,Clements2012[37-41],
Korlai,kwise,kuɲɨˈseɾ,kwi.se,ku.ɲɨ.ˈseɾ,2,3,CCVCV,CVCVCVC,kwi,ku,1,1,,conhecer,know,Clements2012[37-41],
Korlai,kwise,kuɲɨˈseɾ,kwi.se,ku.ɲɨ.ˈseɾ,2,3,CCVCV,CVCVCVC,-,ɲɨ,-,2,,conhecer,know,Clements2012[37-41],
Korlai,kwise,kuɲɨˈseɾ,kwi.se,ku.ɲɨ.ˈseɾ,2,3,CCVCV,CVCVCVC,se,seɾ,2,3,,conhecer,know,Clements2012[37-41],
Korlai,sabe,sɐˈbeɾ,sa.be,sɐ.ˈbeɾ,2,2,CVCV,CVCVC,sa,sɐ,1,1,,saber,know,Clements2012[37-41],
Korlai,sabe,sɐˈbeɾ,sa.be,sɐ.ˈbeɾ,2,2,CVCV,CVCVC,be,ber,2,2,,saber,know,Clements2012[37-41],
Korlai,fol,ˈfoʎɐ,fol,ˈfo.ʎɐ,1,2,CVC,CVCV,fol,fo,1,1,,folha,leaf,Clements2012[37-41],
Korlai,fol,ˈfoʎɐ,fol,ˈfo.ʎɐ,1,2,CVC,CVCV,-,ʎɐ,-,2,,folha,leaf,Clements2012[37-41],
Korlai,hika,fiˈkaɾ,hi.ka,fi.ˈkaɾ,2,2,CVCV,CVCVC,hi,fi,1,1,,ficar,live,Clements2012[37-41],
Korlai,hika,fiˈkaɾ,hi.ka,fi.ˈkaɾ,2,2,CVCV,CVCVC,ka,kaɾ,2,2,,ficar,live,Clements2012[37-41],
Korlai,fig,ˈfiɡɐdu,fig,ˈfi.ɡɐ.du,1,3,CVC,CVCVCV,fig,fi,1,1,,figado,liver,Clements2012[37-41],
Korlai,fig,ˈfiɡɐdu,fig,ˈfi.ɡɐ.du,1,3,CVC,CVCVCV,-,ɡɐ,-,2,,figado,liver,Clements2012[37-41],
Korlai,fig,ˈfiɡɐdu,fig,ˈfi.ɡɐ.du,1,3,CVC,CVCVCV,-,du,-,3,,figado,liver,Clements2012[37-41],
Korlai,kopɾid,kõˈpɾidu,kop.ɾid,kõ.ˈpɾi.du,2,3,CVCCVC,CVCCCVCV,kop,kõ,1,1,,comprido,long,Clements2012[37-41],
Korlai,kopɾid,kõˈpɾidu,kop.ɾid,kõ.ˈpɾi.du,2,3,CVCCVC,CVCCCVCV,-,pɾi,-,2,,comprido,long,Clements2012[37-41],
Korlai,kopɾid,kõˈpɾidu,kop.ɾid,kõ.ˈpɾi.du,2,3,CVCCVC,CVCCCVCV,ɾid,du,2,3,,comprido,long,Clements2012[37-41],
Korlai,kʰaɾm,ˈkaɾnɨ,kʰaɾm,ˈkaɾ.nɨ,1,2,CVCC,CVCCV,kʰaɾm,kaɾ,1,1,,carne,meat,Clements2012[37-41],
Korlai,kʰaɾm,ˈkaɾnɨ,kʰaɾm,ˈkaɾ.nɨ,1,2,CVCC,CVCCV,-,nɨ,-,2,,carne,meat,Clements2012[37-41],
Korlai,luʋaɾ,luˈaɾ,lu.ʋaɾ,lu.ˈaɾ,2,2,CVCVC,CVVC,lu,lu,1,1,,luar,moonlight,Clements2012[37-41],
Korlai,luʋaɾ,luˈaɾ,lu.ʋaɾ,lu.ˈaɾ,2,2,CVCVC,CVVC,ʋaɾ,aɾ,2,2,,luar,moonlight,Clements2012[37-41],
Korlai,sɛɾ,ˈsɛʀɐ,sɛɾ,ˈsɛ.ʀɐ,1,2,CVC,CVCV,sɛɾ,sɛ,1,1,,serra,mountain,Clements2012[37-41],
Korlai,sɛɾ,ˈsɛʀɐ,sɛɾ,ˈsɛ.ʀɐ,1,2,CVC,CVCV,-,ʀɐ,2,2,,serra,mountain,Clements2012[37-41],
Korlai,ʋɛl,ˈveʎu,ʋɛl,ˈve.ʎu,1,2,CVC,CVCV,ʋɛl,ve,1,1,,velho,old,Clements2012[37-41],
Korlai,ʋɛl,ˈveʎu,ʋɛl,ˈve.ʎu,1,2,CVC,CVCV,-,ʎu,-,2,,velho,old,Clements2012[37-41],
Korlai,t̠ʃu,ˈʃuvɐ,t̠ʃu,ˈʃu.vɐ,1,2,CV,CVCV,t̠ʃu,ʃu,1,1,,chuva,rain,Clements2012[37-41],
Korlai,t̠ʃu,ˈʃuvɐ,t̠ʃu,ˈʃu.vɐ,1,2,CV,CVCV,-,vɐ,-,2,,chuva,rain,Clements2012[37-41],
Korlai,d̠ʒus,ˈʒuʃtu,d̠ʒus,ˈʒuʃ.tu,1,2,CVC,CVCCV,d̠ʒus,ʒuʃ,1,1,,justo,correct,Clements2012[37-41],
Korlai,d̠ʒus,ˈʒuʃtu,d̠ʒus,ˈʒuʃ.tu,1,2,CVC,CVCCV,-,tu,-,2,,justo,correct,Clements2012[37-41],
